ID,titles
27,"L'ancien maire socialiste de Forcalquier, commune de 5.000 habitants des Alpes-de-Haute-Provence, a été l'un des premiers à rejoindre"
28,"Trois jeunes femmes ont voulu célébrer un anniversaire au domaine des frères maristes, avec maison et parc mis à disposition des familles par l'institut religi"
29,"L'état des nappes phréatiques, des débits fluviaux et les prévisions météorologiques annoncent un épisode de sécher"
30,"Le secrétaire général de l'Elysée, Christophe Castaner, est nommé secrétaire général de l'Elysée."
31,Le Rassemblement national (RN) est en quête de 5 000 à 30 000 euros chacun.
32,Le documentariste Bertrand Delais a été nommé à la tête de la chaîne parlementaire LCP-AN par le Bureau de l'Assemblée nationale.
33,"Pour la première fois, le prix du diesel dépasse celui du sans-plomb 95."
34,Une enquête Ipsos pour la fondation Vinci Autoroutes révèle que 37% des personnes interrogées jettent des déchets par la fenêtre lorsqu'elles roulent sur
35,Le chargé de mission sur le patrimoine a répondu à ceux qui critiquent les dons conséquents pour reconstruire Notre-Dame de Paris.
36,"L'assaillant de deux surveillants de prison a été abattu par un détenu qui a crié "" Allah Akbar, qu'il disait vouloir venger"
37,Maryse Lancioni n'a pas eu le temps de se réveiller pour admirer le Mont-Saint-Michel. C'est ce qu'a décidé l'Office du
38,"Le directeur général de la Santé, Jérôme Salomon, a indiqué que treize régions étaient désormais touchées par le nouveau coronavirus."
39,"La maire de Marseille, Michèle Rubirola, est ""toujours en colère""."
40,"Il y a bientôt un an, Paris était la cible d'attaques terroristes d'une violence inouïe, qui resteront à jamais gravées dans les mémoire"
41,"Le mouvement social contre la réforme des retraites connaît, en ce mois de décembre 2019, sa 22e journée consécutive."
42,"Selon Susie Stringfellow, une femme de militaire qui a échangé avec le duc et la duchesse de Sussex, la question pourrait se poser."
43,Ils ont été confiés aux gendarmes du peloton autoroutier de Castets.
44,Aucun voyageur ne sera finalement contraint de dormir à la gare de Marseille Saint-Charles.
45,"L'ancien président arrive en tête des personnalités politiques, devançant de quatre points Marine Le Pen ou encore son ancienne rivale à l'élection présidentielle de 2007, Ségolène"
46,Deux policiers de la police guadeloupéenne ont été blessés par des coups de feu jeudi 8 septembre à Basse-Terre. L'un d'eux
47,"Le psychiatre William Bourdon a estimé jeudi que la notion d'emprise sur les plaignants de l'affaire Ramadan était ""d'abord opportuniste"" pour"
48,L'actrice et réalisatrice américaine Sharon Stone s'est confiée dans un entretien accordé au Journal du dimanche (JDD) à l'AFP.
49,La Commission de régulation de l'énergie (CRE) propose aux ministres chargés de l'énergie et de l'économie une hausse des tarifs réglementés de
50,Le président de la République Alain Cocq a annoncé vendredi soir qu'il n'avait aucune nouvelle de la présidence.
51,"Le directeur de l'IHU Méditerranée Infection s'est attaché à tester massivement dans son intitulé ""L'idée qu'on ne pouvait"
52,La Polynésie française connaît une soudaine hausse sur trois jours du nombre de cas de coronavirus.
53,Le président de la République s'est confié au Journal du dimanche (JDD) dans un entretien accordé au Journal du dimanche.
54,"Emmanuel Macron a annoncé une série de gestes visant à améliorer le pouvoir d'achat, dans l'espoir d'apaiser la colère des ""gilets jaunes"
55,"Le procès de Jamal Khashoggi, assassiné en octobre 2018 à l'intérieur du consulat d'Arabie saoudite à Istanbul, s'est ouvert vendredi à"
56,"Le maire de Minneapolis, dans le sud-est des Etats-Unis, Jacob Frey, a estimé jeudi que ""ce n'était pas une condamnation"
57,"Météo France a ajouté l'Eure, le Nord et le Calvados sur sa liste des départements en vigilance orange pluie et inondations, lundi 30"
58,"L'ancienne maire de Bordeaux, Françoise Aubry, s'apprête à s'engager dans la bataille de la primaire de la droite pour la"
59,"Le président LR de la région Les Républicains (LR) de la région Renaud Muselier, qui n'a jamais caché son aversion pour l'acro"
60,L'épouse du fondateur du groupe Édouard Leclerc est décédée vendredi 12 juillet à l'âge de 91 ans.
61,"Le secrétaire d'Etat chargé des Affaires européennes, Clément Beaune, a réagi jeudi soir à l'annonce par le Royaume-Uni de"
62,"Le directeur de la Maison Troisgros, qui travaille depuis 30 ans pour l'entreprise familiale, est décédé à son domicile du Coteau (près de Roanne),"
63,La France est le pays où les ultra-riches se sont enrichis le plus rapide.
64,Le Canard Enchaîné révèle que l'ancien président de la République a reçu François Hollande début juillet.
65,"Sur RTL, Jacline Mouraud, qui avait interpellé le chef de l'État à plusieurs reprises dans des vidéos devenues virales, a tenté de calmer"
66,"L'homme est mis en cause pour avoir conservé ces documents officiels depuis son limogeage de l'Elysée, le 23 juillet."
67,"L'interview de Jean Lassalle, candidat à l'élection présidentielle en retard, a été diffusée sur Paris Première ce dimanche. L'homme politique est apparu"
68,"L'Observatoire des cancers dans les Bouches-du-Rhône a décortiqué les cas de trois cancers (vessie, rein et leucémie a"
69,"Monique et Guy Bunouf, gendarmes mobiles de Lorette (Seine-Saint-Denis), ont décidé de se regrouper autour d'une caserne"
70,"La porte-parole du groupe LREM à l'Assemblée nationale a estimé que les retraités ""peuvent faire un effort"" pour aider à rétablir les comptes"
71,La quasi-totalité des raffineries françaises sont touchées par des blocages des expéditions.
72,"L'épidémiologiste François Hollande s'est exprimé lundi à l'Assemblée nationale sur la pandémie de Covid-19, dans une allocution"
73,"L'épidémie de Covid-19 a fait plus de 80 morts aux Etats-Unis, selon la ministre de la Santé Hillary Clinton."
74,"Les grévistes de la RATP ont subi des menaces, parfois des insultes."
75,L'Eure et la Seine-Maritime font déjà l'objet d'une alerte pour cet épisode pluvieux.
76,"Le site a ouvert dimanche 13 janvier un service de consultations à distance, disponible principalement en Île-de-France."
77,Le brevet des collèges qui devait se tenir cette semaine a été reporté de quelques jours sur décision du ministre de l'Éducation nationale.
78,"Selon les informations du Parisien, un membre des forces de l'ordre aurait bien tiré avec son LBD au moment où Jérôme Rodrigues, figure des ""gilets"
79,"L'ancien président de la République de 1995 à 2007 est décédé ce jeudi 26 septembre, à l'âge de 86 ans."
80,"L'incendie, qui s'est déclaré aux alentours de 21 heures dans un Ehpad situé 11 rue de la Source, dans le XVIe arrondissement de Paris"
81,"Le président des Républicains a invité tous les députés et sénateurs de son parti au siège, à Paris, pour regarder la demi-finale de la Coupe du monde."
82,"Le procureur de la République de Dijon, Eric Mathais, a indiqué jeudi matin que cinq personnes ont été placées en garde à vue dans le cadre de l'enquête sur"
83,"Après avoir enregistré dimanche son plus faible bilan quotidien depuis le début du confinement, avec 70 morts en 24 heures, le bilan est reparti à la hausse lundi avec 263 mort"
84,"Selon le JDD, un hacker américain a mis la main sur un fichier regroupant plusieurs millions d'adresses Gmail et de mots de passe."
85,"La vice-présidente du conseil régional d'Occitanie invoque ""un devoir républicain de salubrité publique"" pour expliquer sa décision."
86,"Un immense sérac de glace menace de s'ébouler dans le Val d'Aoste, selon les autorités locales."
87,L'ancien champion du monde George Floyd a été en contact avec la famille de l'ancien champion du monde.
88,"Le parquet de Lyon a ouvert, le 22 juin, ""une enquête visant ce youtubeur des chefs de corruption de mineurs"", ""d'enregistrement,"
89,Vladimir Poutine a annoncé jeudi avoir entamé des examens préliminaires liés à l'hospitalisation d'Alexeï Navalny le 20 août à Omsk
90,"Pour la Commission de régulation de l'énergie, le gel devra être rattrapé."
91,"Benoît Hamon et François Fillon étaient les favoris du premier tour de la primaire de la droite. Le député des Yvelines, qui s'est engagé dans"
92,"Selon un sondage Elabe pour BFMTV et publié mercredi 19 décembre, 41% des Français soutiennent le mouvement des ""gilets jaunes""."
93,Plusieurs élus locaux estiment que le gouvernement cherche à leur mettre des bâtons dans les roues.
94,"Le chef de l'Etat turc Recep Tayyip Erdogan s'est exprimé à quelques heures du sommet de l'Union européenne à Porticcio, en Corse,"
95,"Le chanteur français Mischa Aznavour a accepté de se confier à RTL. Il révèle un ""projet avec Universal de ressortir peut-être quelques titres"" qui"
96,"Tewfik Derbal, ex-collaborateur du ministre de la Santé Olivier Véran, a fait une offre de masques FFP2, révèle Médiapart."
97,"L'ancien président du Conseil constitutionnel, Jean-Louis Debré, s'est confié dans un entretien accordé au ""Monde"" à l'issue d'"
98,L'animatrice de télévision Karine Le Marchand a donné le coup d'envoi d'un vaste débat sur l'agriculture.
99,"Dans un long entretien à BFMTV, le professeur Didier Raoult s'est notamment fait remarquer pour ses avis contraires au conseil scientifique."
100,Une équipe de chercheurs français a apporté sa pierre à l'édifice de l'édifice de l'édifice de l'édifice de l'édifice de l'
101,"Le plafond du paiement sans contact va passer de 30 à 50 euros, a révélé Europe 1 ce jeudi 16 avril."
102,Le couple Macron/Le Pen domine le rapport de forces et relègue la concurrence loin derrr.
103,"Selon les informations de Télé 2 semaines, l'animateur vient de se voir confier les rênes d'une nouvelle émission pour M6."
104,"""Il ne faut pas tomber dans la facilité qui consiste à émettre des critiques parce que, du coup, les micros se tendent"", a mis en garde Marine"
105,"L'archevêque de Lyon a rendu hommage aux ""prières, attentions et délicatesses"" de la cathédrale Saint-Jean, dans le"
106,Un chirurgien à la retraite de 68 ans est en passe d'être jugé pour viols et agressions sexuelles sur quatre mineures.
107,La société Sovivo a annoncé vendredi un retrait et un rappel de lots de viande hachée et de steaks hachés distribués par des enseignes Leader
108,"Roméo, 14 ans, s'est lancé dans la production de masques de protection. L'atelier de fabrication est installé dans sa maison du 13e arrondissement de"
109,L'ancien président de l'UMP a regagné son domicile parisien du XVIe arrondissement après la fin de sa garde à vue.
110,Un jeune homme de 27 ans a été poignardé après une bagarre dans un parc de Grenoble. Il a reçu plusieurs coups à l'abdomen.
111,"L'ensemble du système de santé doit être repensé, estime la Fédération hospitalière de France."
112,"La maire Keisha Lance Bottoms, dont le nom a été avancé comme celui d'une possible colistière du démocrate Joe Biden pour l'élection présidentielle"
113,"Selon Society, les collaborateurs de l'Élysée sous Emmanuel Macron auraient droit à des charges de travail accrues, et des plages horaires exténuantes"
114,"Alors que le Premier ministre a présenté jeudi les modalités de la phase II du déconfinement, qui débutera le 2 juin, la porte-parole du gouvernement Sibeth Ndi"
115,"L'avion de l'ONG Cinema for Peace s'est acheminé jeudi vers l'Allemagne pour assister Alexeï Navalny, un membre du groupe d'"
116,"Dimanche 19 janvier, vers 8 heures, 53 catholiques quittaient la maison diocésaine du Calvados à Caen, raconte France 3 Normandie."
117,"Le bitume où a été abattu Mohamed Lahouaiej Bouhlel, tué le 14 juillet au soir par un attentat à la voiture piégée, a été"
118,"Un enfant a découvert un pistolet caché dans un buisson de bambous, rapporte Le Télégramme."
119,L'agence sanitaire Santé publique France a indiqué mercredi 13 mars qu'un premier décès dû à la rougeole a eu lieu cette année en France.
120,La ministre de l'Intérieur Nicole Belloubet s'est exprimée jeudi 23 août sur la détention d'un homme soupçonné d'avoir participé
121,Ils ont été mis en examen pour violences volontaires par personne dépositaire de l'autorité publique.
122,Le suspect principal dans le meurtre de la petite Maëlys a été placé en garde à vue vendredi 7 février dans le cadre d'une enquête ouverte après la plainte
123,"Martino Gaudioso, 55 ans, a été tué au ventre par un tir de son fils âgé de 34 ans, alors que les deux hommes traquaient le gibi"
124,"Le 13e secrétaire du Parti socialiste, Olivier Faure, a été nommé à la tête du parti."
125,"L'assaillant d'un Thalys Amsterdam-Paris a été maîtrisé par trois Américains, dont deux militaires."
126,"Le ministre de l'Intérieur Christophe Castaner a précisé sur France Inter que la fin des ""imams détachés"" était prévue pour 2024 car ""ce"
127,Vingt-deux départements sont toujours placés en vigilance orange dans le cadre de la tempête Jorge.
128,"Selon le tabloïd anglais The Sun, la guerre serait déclarée entre les deux femmes."
129,"La chanteuse Louane s'est confiée dans un entretien accordé au Journal du dimanche, où elle a expliqué sa méthode personnelle pour faire face aux ruptures amour"
130,L'Association nationale de défense des consommateurs et usagers CLCV publie une enquête pointant l'augmentation des tarifs dans la capitale.
131,Ce fichier doit recenser tous les locataires ayant des retards de trois mois dans le paiement de leur loyer.
132,L'ex-champion olympique de ski s'est exprimé dans un entretien accordé au quotidien suisse Le Matin.
133,Un père de famille a été mis en examen pour tentative d'assassinat sur sa fille atteinte de trisomie.
134,La cagnotte a été versée au personnel soignant du CHU de Reims.
135,"Les autorités chinoises tentent d'encourager l'allaitement, avec des salles réservées dans les parcs ou les gares."
136,"Dans une interview au Parisien, Marie-Ange Laroche, veuve de Bernard Laroche, et soeur de Murielle Bolle, continue de clamer"
137,Le principal parti d'opposition turc a dénoncé des tentatives de fraude.
138,"Alain Krakovitch, président de la Fédération nationale des associations d'usagers des transports (Fnaut), a rappelé que les voyageurs de Île-"
139,"L'antenne du Parti socialiste aux Ulis, également utilisée comme local par la députée de l'Essonne Maud Olivier, a été ravagée par"
140,Le président de la République s'est exprimé lors du G7 à Biarritz.
141,L'alerte rouge canicule a été étendue ce samedi après-midi à 15 départements.
142,"Le président de la République a dû être ""sécurisé"" pendant quelques minutes, tandis que le journaliste et militant Taha Bouhafs, qui avait signalé la présence"
143,L'homme a été mis en examen samedi pour fabrication d'explosifs et placé en détention provisoire.
144,"Selon L'Obs, certains ministres seraient récalcitrants."
145,"La première maire écologiste de Strasbourg veut faire de sa ville ""la capitale européenne de la transition écologique, sociale et démocratique""."
146,"Le mouvement des ""gilets jaunes"" semblait s'essoufler ces derniers jours."
147,"Dans son allocution, le chef de l'Etat a annoncé que les crèches, écoles, collèges et lycées rouvriraient ""progressivement"" à"
148,"Une Française de 73 ans, adepte des Témoins de Jéhovah, a été retrouvée morte le 24 décembre à Santa Cruz, dans l'est de la Boli"
149,"La présidente LREM de la Commission des Affaires sociales de l'Assemblée, Brigitte Bourguignon, a plaidé pour un ""moratoire d'un trimestre"" sur les"
150,L'arrivée d'une dépression dans le Golfe du Lion va favoriser la remontée d'une masse d'air très instable en provenance de la Médi
151,Le ministère de l'Économie a mis en ligne un outil permettant aux salariés du secteur privé de simuler leurs gains liés à la suppression des cotisations
152,"L'ancien maire de Tourcoing est très attaché à sa rhétorique, selon un proche du parti."
153,"L'enquête sur l'article publié jeudi par le magazine ultra-conservateur ""L'esclavage"" a été confiée à la brigade de répression de la"
154,Le sénateur UMP Jean-Louis Masson a pris la parole à l'occasion du débat au Sénat sur le projet de loi visant à interdire le port du
155,L'hôpital de King's College à Londres a mis au point une technique permettant de vérifier en temps réel que les zones du cerveau responsables du mouvement des mains n'étaient pas
156,"Le laboratoire central de la préfecture de police de Paris a effectué et analysé des prélèvements d'air, qui n'ont pas permis d'identifier de composé"
157,"Un bizutage a eu lieu dans une école d'infirmiers à Toulouse, révèle France Bleu."
158,Le président américain a annoncé qu'il ne se rendrait plus dans l'Etat où il avait prévu de passer le week-end dans son club de golf de Bedminster.
159,"En France, plus d'un tiers des salariés du privé ont recouru au télétravail pendant les grèves contre la réforme des retraites de décembre 2019, rapporte"
160,Le ministre de l'Intérieur Gérald Darmanin s'est exprimé après les incidents à Paris en marge de la finale de la Ligue des Champions
161,Un sergent californien de l'armée de l'air a été inculpé du meurtre d'un policier de la ville d'Oakland
162,L'Apple Watch a été présentée par le grand public ce mercredi. La firme américaine a annoncé que l'iPhone 7 serait équipé d'écouteurs sans fil.
163,"Selon Télé-Loisirs, la production du jeu télévisé Koh-Lanta n'écarterait pas l'idée d'organiser une édition avec des sportifs"
164,"Selon les informations de France Bleu Lorraine, le zoo d'Amnéville (Moselle) a tenté tant bien que mal de faire disparaître le cadavre d"
165,"Le général Lecointre a fourni avec la ministre des Affaires étrangères des précisions sur les conditions tactiques ""exigeantes"" dans lesquelles a eu lieu l'accident"
166,"Dans un entretien accordé au quotidien belge Le Soir, François Hollande reconnaît avoir ""forcément"" une ""part de responsabilité"" dans la colère exprimée par"
167,"Dans un entretien accordé au journal belge Le Soir, Véronique Sanson revient sur la polémique autour de Catherine Deneuve."
168,"Le numéro 2 du Rassemblement national (RN), Nicolas Bay, a estimé lundi matin que ""les Français attendent toujours des réponses, qui ne sont pas venues"","
169,La comédienne Arielle Dombasle a fait part de ses craintes de perdre l'homme avec qui elle partage sa vie.
170,"Des scientifiques américains ont montré que les macaques rhésus, habituellement utilisés en raison de leur similarité avec les humains, n'ont pas de réponse"
171,"L'ouragan s'approche de la catégorie 5, la plus haute sur l'échelle d'intensité."
172,Le ministre de l'Economie sortant s'est expliqué au journal de TF1.
173,"La présidente de la région Île-de-France Valérie Pécresse demande ""une inflexion claire dans la ligne""."
174,L'enquête sur le double meurtre d'un policier et de sa compagne à leur domicile de Magnanville (Yvelines) en juin 2016 a connu un
175,Le feu a été maîtrisé vers 21h30 mardi.
176,"La clinique de reproduction BioTexCom, à Kiev, accueille une vingtaine de bébés."
177,"Le ""rassemblement solennel"" de Paris était soutenu par plusieurs syndicats."
178,Aucune interpellation ni saisie n'ont été effectuées à cette occasion.
179,L'explosion s'est produite dans la nuit de vendredi à samedi dans un immeuble d'Annecy.
180,"Le trafic des tramways sera ""proche de la normale"" et celui des bus ""en amélioration"", avec les trois-quarts des véhicules en moyenne dans les rues"
181,"La ville de Cannes a commencé ce mercredi 15 avril une distribution massive de masques, fabriqués par la commune."
182,La cour d'assises spéciale de Paris juge 14 accusés soupçonnés de soutien logistique aux auteurs des attentats de janvier 2015.
183,"L'air du temps. Amanda Larson est rentrée à Thoreau, dans le Nouveau-Mexique."
184,"Le président de Sanofi France, Olivier Bogillot, a estimé samedi 5 septembre sur France Inter que la promesse de Sanofi d'un vaccin contre le Covid-19"
185,"Un drone ""tactique"" de 18 mètres d'envergure et de plus d'une tonne s'est écrasé vendredi soir près de la base a"
186,"Selon une étude publiée mercredi par l'Organisation pour le développement et la coopération économiques, la France dépense près d'un tiers de son produit intérieur brut dans les"
187,La cote Larousse des prénoms 2019 de Laure Karpiel dévoile les prénoms les plus donnés l'an dernier.
188,"Le 7 janvier 2020, un couple de Bourgogne-Franche Comté a vu le jour à la naissance de son premier enfant. Le 7 janvier 2020, il a ressent"
189,Un car Flix a été bloqué lundi matin à la gare routière de Perrache à Lyon en raison d'une suspicion de coronavirus à son bord.
190,"La popularité du chef de l'État s'est envolée ces dernières semaines, selon un sondage BVA publié mardi."
191,"Dans un entretien au Parisien, le haut-commissaire aux retraites s'est montré très ferme concernant un aspect fondamental de ce projet."
192,Le clan Hallyday se déchire autour du testament de Johnny Hallyday.
193,Les forces de l'ordre ont découvert dimanche matin au niveau du numéro 27 de l'avenue Georges V à Paris une voiture qui a fait plusieurs blessés.
194,"Le chef de l'Etat Emmanuel Macron est attendu jeudi à Naples pour assister à la traditionnelle cérémonie au mémorial du Mont-Valérien, en région parisien"
195,Le groupe Les Républicains (LREM) a présenté cinq candidats à l'élection des vice-présidents. Le groupe Modem a avancé un nom issu de
196,Les prélèvements bancaires pour les abonnements de train sont suspendus.
197,"Sur 17.047 personnes interrogées dans la 7e vague de l'enquête électorale du Cevipof, seules 4% se déclarent satisfaites de l"
198,"Le Département de l'Aisne a décidé d'acheter ""plus de 4.000 maroilles""."
199,"Le constructeur automobile français Argus a annoncé, mercredi 15 juillet, la suppression de la cote Argus, qui avait été suspendue pendant la Seconde Guerre mondiale."
200,"L'institut national de la statistique a publié un panorama des rémunérations des agriculteurs, aux conclusions contrastées."
201,"La présidente du Front national va emprunter 6 millions d'euros à son père Jean-Marie, par l'intermédiaire de son microparti Cotelec, face aux"
202,L'actrice Sophie Marceau a publié sur son compte Instagram la couverture du recueil de poèmes qu'elle a écrit son enfant Vincent.
203,"Dans un entretien accordé au Parisien, l'homme d'affaires évoque sa situation judiciaire."
204,Le changement climatique n'avait jamais été auparavant l'un des sujets majeurs pour la base d'un parti.
205,L'ancien chanteur de Noir Désir a annoncé ce vendredi sur son compte Facebook qu'il se produira au Zénith de Paris le 7 juin.
206,"Un humanitaire français, responsable de l'ONG Agronomes et vétérinaires sans frontières au Guatemala, a été tué lundi dans une attaque armée contre son"
207,L'Assemblée nationale chinoise a adopté jeudi une loi visant à lutter contre les manifestations monstres de 2019 contre le pouvoir central.
208,L'hebdomadaire Ouest-France a relayé les informations sur les noces de Charlotte et Dimitri Rassam.
209,La journée de lundi 10 juin est classée orange par Bison futé dans le sens des retours.
210,"Invitée lundi sur RMC, Nadine Morano a fustigé le laxisme des députés et l'inaction de la communauté musulmane de France."
211,"L'ONG humanitaire s'est rendue sur son navire-hôpital, bloqué depuis le 22 juillet à Porto Empedoc."
212,La police nord-irlandaise a annoncé samedi l'arrestation de deux hommes de 18 et 19 ans dans l'enquête sur la mort de la journaliste Lyra McKe
213,L'explosion s'est produite dans un quartier de la capitale afghane.
214,"La session extraordinaire des députés de la majorité présidentielle a été reportée à la mi-juillet, rapporte BFMTV et Le Parisien."
215,Kim Jong-un est devenu le premier dirigeant nord-coréen à marcher sur le sol sud-coréen en franchissant la ligne de démarcation millé
216,L'ex-ministre de la Justice a remis sur la table sa proposition d'une police municipale armée à Paris.
217,Le chef de l'État a répondu aux questions des maires de Normandie qui avaient fait le déplacement à Grand-Bourgtheroulde (Eure).
218,"Le directeur général de la Santé, Jérôme Salomon, a indiqué que la fréquentation des hôpitaux pour cette cause était à nouveau en légère baisse."
219,L'humoriste Michèle Laroque et l'humoriste Gala Muriel Robin s'interrogent sur la question des sexes dans l'espace public.
220,Le président des Etats-Unis Donald Trump s'est exprimé vendredi sur Twitter après la publication d'un décret autorisant la police fédérale de Washington à autoriser les utilisateurs
221,La maire du 7e arrondissement de Paris n'a pas caché son intérêt pour la mairie de Paris.
222,"Le fleuve a vu son niveau de 2 mètres atteindre 3,23 mètres à Paris à 10h40 et 3,27 mètres à 17h."
223,Le frère de l'auteur de l'attentat de Strasbourg est décédé dimanche 16 décembre.
224,"Pour critiquer Nicolas Sarkozy, le député européen n'a pas hésité à se lancer dans une « fable ». ""Je vais vous raconter une petite histoire monsieur Bour"
225,L'Arabie saoudite a demandé aux pays musulmans de payer d'avance leurs frais d'hébe.
226,"Le Kremlin a jugé lundi qu'il était ""trop tôt"" pour déterminer si un ""travail en commun"" était possible avec le nouveau président ukrainien Volody"
227,"L'ancien ministre de l'Économie, Michel Sapin, s'est exprimé dans un entretien accordé au Journal du Dimanche (JDD)"
228,"La police israélienne a annoncé mardi que des pèlerins israéliens ont été victimes d'une altercation à Jérusalem-Est, dans"
229,Une mère de famille a été photographiée en train de transporter une piscine gonflable sur le toit de sa voiture.
230,L'homme a été évacué vers le centre hospitalier Lariboisière à Paris.
231,La Corée du Nord a fermé ses frontières pour tenter de se protéger d'une pandémie qui pourrait être désastreuse dans un pays aux infrastructures médicales
232,"Le pic de chaleur qui devrait s'abattre sur la France à partir de dimanche va faire grimper le thermomètre autour de la moitié sud de la France, a annoncé le"
233,"Les 610 ""défaillances"" constatables seront classées en trois niveaux de gravité."
234,"Elisabeth II est décédée le 21 avril à l'âge de 94 ans. En raison de la pandémie, la parade militaire a été annulée et remplac"
235,"Le ministre de la Transition écologique a dénoncé jeudi 8 février sur BFMTV des rumeurs ""ignominieuses"", démentant tout comportement inapproprié"
236,"Le sous-marin d'attaque en cale sèche a été incendié dans la nuit de vendredi à samedi, a annoncé la marine nationale."
237,"Le président de la Commission européenne Jean-Claude Juncker a immédiatement répondu à Boris Johnson, qui a jugé ""inacceptable"" l'accord de retrait négocié"
238,Eric Drouet a été mis à part par un groupe de policiers qui ont attendu d'avoir les instructeurs.
239,Le président de la région Auvergne-Rhône-Alpes s'est exprimé lors d'un déplacement à Azay-sur-Cher (Indre-et-
240,"En pleine résurgence de l'épidémie de Covid-19, l'abstention dépasse 79% dans la capitale."
241,Le milliardaire républicain Donald Trump s'est exprimé dans un entretien accordé au Journal du dimanche (JDD) sur le bilan de son adversaire démoc
242,L'épidémie de Covid-19 a fait 23 morts dans le pays.
243,"Au moins 37 personnes sont décédées, dont 3 en France."
244,"L'Ardèche, la Drôme et le Rhône sont déjà en vigilance orange."
245,Une scène d'accrochage au sein de la 31e compagne de sécurisation et d'intervention a été filmée par un témoin.
246,La chanteuse André Paradis a confié au magazine Vogue que son père était un artiste et un passionné.
247,Une source proche de l'organisation Etat islamique (AQMI) a affirmé dimanche qu'il s'agissait d'une attaque qui visait des
248,"Le maire de Béziers, Pascal Resplandy, assure que les frais de justice de la mairie de Béziers explosent de 300.000 euros."
249,"L'Espagne, pays parmi les plus endeuillés avec plus de 28.000 morts, a levé samedi à minuit l'état d'alerte décr"
250,La cour d'appel de Paris a rejeté lundi une nouvelle demande de mise en liberté du maire de Levallois-Perret (Hauts-de-Seine
251,"Le propriétaire du café Chez Ngao, Nguyen Thanh Binh, a annoncé qu'il allait aider les chats en difficulté."
252,"L'ex-chef de l'État sort ""Les leçons du pouvoir"", un livre-bilan de ses cinq années à la tête du pays, rapporte Le Paris"
253,La direction nationale de la SNCF a réfuté toute implication.
254,"L'éclipse totale de Lune, qui s'est achevée dimanche, devrait ravir les amateurs d'astronomie qui pourront profiter particulièrement de Mars"
255,L'hebdomadaire new-yorkais The Economist a publié jeudi un article sur la décision de Donald Trump d'interrompre sa publication aux Etats-Unis.
256,"Selon Le Parisien, la préfecture de police de Marseille cherche à ""prévenir tout trouble à l'ordre public"" mêmmé."
